Active Past,Active Present,Translation,Transliteration Past,Transliteration Present
ذَهَبَ,يَذْهَبُ,to go,dhahaba,yadhhabu
أرَادَ,يُرِيدُ,to want,ʾaraada,yuriidu
أَكَلَ,يَأْكُلُ,to eat,ʾakala,yaʾkulu
إسْتَمَعَ,أَسْتَمِعُ,to hear / to listen,istamaʿa,ʾastamiʿu
قَرَأَ,يَقْرَأُ,to read,qaraʾa,yaqraʾu
دَرَّسَ,يُدَرِّسُ,to teach,darrasa,yudarrisu
نَامَ,يَنَامُ,to sleep,naama,yanaamu
إستيقَظَ,أَسْتَيْقِظُ,to wake up,istayqaẓa,ʾastayqiẓu
رَكَضَ,يَرْكُضُ,to run,rakaDa,yarkuDu
ذَاكَرَ,يُذَاكِرُ,to study,dhaakara,yudhaakiru
شَاهَدَ,يُشَاهِدُ,to watch,shaahada,yushaahidu
عَمِلَ,يَعْمَلُ,to work / to make,ʿamila,yaʿmalu
تَذَكَّرَ,يَتَذَكَّرُ,to remember,tadhakkara,yatadhakkaru
كَتَبَ,أَكْتُبُ,to write,kataba,ʾaktubu
سَافَرَ,يُسَافِرُ,to travel,saafara,yusaafiru
شَرِبَ,يَشْرَبُ,to drink,shariba,yashrabu
حَفِظَ,يَحْفَظُ,to memorize,HafiZa,yaHfaZu
سَأَلَ,يَسْأَلُ,to ask,saʾala,yasʾalu
أَخَذَ,يَأْخُذُ,to take,ʾakhadha,yaʾkhudhu
فَهِمَ,يَفْهَمُ,to understand,fahima,yafhamu
سَكَنَ,يَسْكُنُ,to live,sakana,yaskunu
بَقِيَ,يَبْقَى,to stay,baqiya,yabqaa
