English,Pronounciation,Arabic,Lesson
family,usrat,أُسْرَة,2
people,al nas,النَّاس,2
also,aydan,أَيْضًا,2
country,balad,بَلَد,2
translation,at tarjama min / ila,التَّرْجَمَة مِن / إلِى,2
translator,mutarjim / mutarjima,مُتَرْجِم / مُتَرْجِمَة,2
specialist in,mutakhasis fi / mutakhasisa fi,مُتَخَصِّص فِي /مُتَخَصِّصَة فِي,2
maternal aunt,khala,خَالَة,2
always,daiman,دَائِمًا,2
center,markaz,مَرْكَز,2
the Middle East,ash sharq al awsat,الشَرْق الأَوْسَط,2
busy (with),mashghul / mashghula bi,مَشْغُول / مَشْغُولَة بـِ,2
work,al 'amal / ash shughl,العَمَل الشُّغْل,2
tomorrow,ghadan,غَدًا,2
"really!, truly",fi'lan,فِعْلًا,2
admission,al qubul,القُبُول,2
"he talks about, he speaks, talks",yatakallam 'an,يَتَكَلَّم عَن,2
I have,li - 'indi,لِي - عِنْدِي,2
language,lughat,لُغَة,2
evening,al masa',المَسَاء,2
night,al layl,اللَّيْل,2
daytime,an nahar,النَّهَار,2
only; lonely (adjective),wahid / wahida,وَحِيد / ة,2
employee,muwadhdhaf / muwadhdhafa,مُوَظَّف / ة,2
today,al yawm,اليَوم,2
history,at tarih,التّاريخ,3
now,al'an,الآن,3
congratulations!,mabruk,!مَبروك,3
response to congratulations,baraka allahu fika,بارَكَ اللهُ فيك,3
son,ibn ja abna',اِبن ج. أَبناء,3
"cousin (male, paternal)",ibn 'amm ja abna' 'amm,اِبن عَمّ ج. أَبناء عَمّ,3
grandfather,jadd ajdad,جَدّ ج. أَجداد,3
grandmother,jadda jaddat,جَدّة ج. جدّات,3
army,jaysh juwush,جَيش ج. جُيوش,3
law (as a field of study),al huquq,الحُقوق,3
"actually, in reality",fi al haqiqat,في الحَقيقة,3
he teaches,yudarris,يُدَرِّس,3
religion,ad din,الدّين,3
letter,risala risail,رِسالة ج. رِسائِل,3
husband,zawj azwaj,زَوج ج. أَزواج,3
wife,zawja zawjat,زَوجة ج. زَوجات,3
married (adj.),mutazawwij/a -un/in,مُتَزَوِّج/ة ج. -ون/ين,3
picture,sura suwar,صورة ج. صُوَر,3
officer,dabit dubbat,ضابِط ج. ضُباط,3
medicine (the profession),at tibb,الطِّبّ,3
I know,a'rif,أعرِف,3
science,ilm 'ulum,عِلم ج. عُلوم,3
political science,al 'ulum as siyasiyya,العُلوم السِّياسِيَّة,3
anthropology,ilm al insaan,عِلم الإنْسان,3
psychology,ilm an nafs,عِلم النَّفس,3
paternal uncle,'amm 'amaam,عَمّ ج. أَعْمام,3
(extended) family,'a'ila 'a'ilat,عائِلة ج. عائِلات,3
relative,qarib 'aqarib,قَريب ج. أقارِب,3
"college, school (in a university)",kulliyya kulliyyat,كُلِّيّة ج. كُلِّيّات,3
how many?,kam?,كَم؟,3
engineering,al handasa,الهَندَسة,3
