English,Pronounciation,Arabic,Lesson
he eats,ya'kul,يَأْكُل,4
yesterday,ams,أَمْس,4
first,awwal,أَوَّل,4
"primary, elementary",ibtidayiyy / ibtidayiyya,اِبْتِدائِيّ / اِبْتِدائِيّة,4
I memorize,ahfadh,أَحْفَظ,4
"sweets, desserts",halawiyat / huluw,حَلَوِيّات، حُلو,4
vegetables,khudhaar,خُضار,4
school,madrasa / madaris,مَدْرَسة / مَدارِس,4
I remember,atadhakkar,أَتَذَكَّر,4
"classmate, colleague (masc.)",zamil zumalaa',زَميل ج زُمَلاء,4
"classmate, colleague (fem.)",zamila / zamilat,زَميلة / زَميلات,4
"travelling from, to (noun)",as safar min / ila,السَّفَر مِن، إلى,4
I travel to,usafir ila,أُسافِر إلى,4
salad,salata / salatat,سَلَطة / سَلَطات,4
he listens to,yastami' ila,يَسْتَمِع إلى,4
fish,samak,سَمَك,4
soup,shurba,شُورْبة,4
friend (masc.),sadiq 'asdiqa',صَديق ج أَصْدِقاء,4
friend (fem.),sadiqa sadiqat,صَديقة ج صَديقات,4
childhood,at tufuula,الطُّفولة,4
restaurant,mat'am / mataa'im,مَطْعَم / مَطاعِم,4
"individual, person",fard / 'afraad,فَرْد / أَفْراد,4
fruit,fakiha / fawaakih,فاكِهة / فَواكِه,4
before (with a noun or participle),qabla + ism,قَبْلَ + اسم,4
he reads,yaqra',يَقرأ,4
he says,yaqul,يَقول,4
he writes,yaktub,يَكْتُب,4
all of the ... (with a following plural),kull + al jam',كُلّ + الجمع,4
he was,kaana,كانَ,4
I was,kuntu,كُنْتُ,4
meat,lahm,لَحم,4
